id,start,end,event,size,state
1.0,0.0,913439.0,0,14.0,0
1.0,913439.0,1292405.0,1,14.0,0
1.0,1292405.0,1540749.0,0,14.0,1
2.0,0.0,50170.0,0,14.0,0
3.0,0.0,913439.0,0,18.0,0
3.0,913439.0,1292405.0,1,18.0,0
3.0,1292405.0,1540749.0,0,18.0,1
4.0,0.0,50170.0,0,18.0,0
5.0,0.0,374586.0,0,13.0,0
6.0,0.0,374586.0,0,74.0,0
7.0,0.0,374586.0,0,53.0,0
8.0,0.0,343394.0,0,45.0,0
10.0,0.0,122056.0,1,60.0,0
10.0,122056.0,163760.0,0,46.0,1
11.0,0.0,6230.0,1,60.0,0
11.0,6230.0,570075.0,1,60.0,1
11.0,570075.0,570142.0,1,54.0,1
11.0,570142.0,696434.0,1,56.0,1
11.0,696434.0,1338414.0,0,51.0,1
11.0,1338414.0,1717380.0,1,37.0,1
11.0,1717380.0,1802721.0,0,37.0,1
9.0,0.0,1925158.0,0,113.0,0
12.0,0.0,337409.0,1,12.0,0
12.0,337409.0,585753.0,0,12.0,1
13.0,0.0,337409.0,1,995.0,0
13.0,337409.0,585753.0,0,995.0,1
14.0,0.0,73979.0,0,86.0,0
15.0,0.0,1496988.0,0,12.0,0
15.0,1496988.0,1920116.0,0,59.0,0
16.0,0.0,73979.0,0,86.0,0
17.0,0.0,819800.0,0,12.0,0
18.0,0.0,374586.0,0,86.0,0
19.0,0.0,333561.0,0,141.0,0
20.0,0.0,163760.0,0,74.0,0
21.0,0.0,47094.0,1,208.0,0
21.0,47094.0,118999.0,0,12.0,1
21.0,118999.0,334285.0,1,12.0,1
21.0,334285.0,773350.0,0,12.0,1
22.0,0.0,321117.0,0,25.0,0
22.0,321117.0,333561.0,1,177.0,0
22.0,333561.0,334285.0,1,139.0,1
22.0,334285.0,337695.0,1,139.0,1
22.0,337695.0,1035122.0,1,137.0,1
22.0,1035122.0,1338413.0,0,96.0,1
22.0,1338413.0,1690336.0,1,96.0,1
22.0,1690336.0,1717378.0,1,74.0,1
22.0,1717378.0,1802719.0,0,74.0,1
24.0,0.0,6192.0,0,83.0,0
25.0,0.0,163760.0,0,48.0,0
26.0,0.0,6230.0,1,45.0,0
26.0,6230.0,333560.0,1,45.0,1
26.0,333560.0,570074.0,1,40.0,1
26.0,570074.0,570141.0,1,51.0,1
26.0,570141.0,773309.0,1,48.0,1
26.0,773309.0,1015427.0,1,48.0,1
26.0,1015427.0,1338412.0,0,39.0,1
26.0,1338412.0,1717378.0,1,39.0,1
26.0,1717378.0,1802719.0,0,39.0,1
23.0,0.0,321117.0,0,47.0,0
23.0,321117.0,333561.0,1,47.0,0
23.0,333561.0,1338415.0,0,47.0,1
23.0,1338415.0,1690127.0,0,47.0,1
28.0,0.0,1338416.0,0,37.0,0
28.0,1338416.0,1717382.0,1,33.0,0
28.0,1717382.0,1965726.0,0,33.0,1
27.0,0.0,851476.0,0,14.0,0
34.0,0.0,57494.0,1,9.0,0
34.0,57494.0,142199.0,1,14.0,1
34.0,142199.0,223478.0,0,21.0,1
29.0,0.0,351463.0,0,22.0,0
30.0,0.0,363504.0,0,15.0,0
31.0,0.0,8727.0,0,8.0,0
32.0,0.0,365804.0,0,8.0,0
33.0,0.0,282433.0,0,9.0,0
35.0,0.0,46126.0,1,24.0,0
35.0,46126.0,223479.0,0,24.0,1
36.0,0.0,375989.0,0,28.0,0
36.0,375989.0,377384.0,0,43.0,0
36.0,377384.0,380198.0,0,28.0,0
